frame,cap_ms,pnp_ms,upload_ms,swap_ms,found,t_x,t_y,t_z,r_x,r_y,r_z,reproj_mean,reproj_median,reproj_max
50,2286.868,2286.868,2303.770,2305.774,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
51,2321.277,2321.277,2339.059,2340.596,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
52,2356.706,2356.706,2373.113,2374.589,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
53,2417.914,2417.914,2436.927,2438.881,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
54,2453.704,2453.704,2472.279,2473.802,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
55,2486.895,2486.895,2503.664,2505.932,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
56,2521.550,2521.550,2536.902,2539.183,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
57,2555.678,2555.678,2573.052,2574.570,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
58,2587.477,2587.477,2602.481,2605.373,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
59,2619.721,2619.721,2635.867,2638.610,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
60,2652.966,2652.966,2669.873,2671.849,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
61,2686.382,2686.382,2703.284,2705.234,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
62,2719.522,2719.522,2736.433,2738.640,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
63,2755.117,2755.117,2771.659,2773.134,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
64,2788.085,2788.085,2804.977,2806.400,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
65,2820.255,2820.255,2838.122,2839.683,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
66,2853.592,2853.592,2868.501,2872.094,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
67,2886.577,2886.577,2903.489,2905.744,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
68,2920.231,2920.231,2937.414,2939.722,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
69,2956.580,2956.580,2973.234,2974.735,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
70,2984.989,2984.989,2999.925,3001.564,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
71,3021.050,3021.050,3038.239,3039.747,0,0.000,0.000,0.000,0.000,0.000,0.000,-1.000,-1.000,-1.000
